Plant name,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Chashma,1,PWR,CNP-300,Operational,300,1 Aug 1993,15 Sep 2000,
Chashma,2,PWR,CNP-300,Operational,300,28 Dec 2005,18 May 2011,
Chashma,3,PWR,CNP-300,Operational,315,28 May 2011,6 Dec 2016,
Chashma,4,PWR,CNP-300,Operational,313,18 Dec 2011,19 Sep 2017,
Chashma,5,PWR,Hualong One,Under construction,1100,30 Dec 2024,,
Karachi,1,PHWR,CANDU,Shut down,90,1 Aug 1966,7 Dec 1972,1 Aug 2021
Karachi,2,PWR,Hualong One,Operational,1014,23 May 2013,19 Mar 2021[88],
Karachi,3,PWR,Hualong One,Operational,1014,31 May 2016,18 Apr 2022,
