Plant name,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
SCK•CEN,1,PWR,Westinghouse (WH) BR-3,Decommissioned,10,1 Nov 1957,10 Oct 1962,30 Jun 1987
Doel,1,PWR,WH 2 loops,Shut down,445,1 Jul 1969,15 Feb 1975,14 Feb 2025
Doel,2,PWR,WH 2 loops,Operational,445,1 Sep 1971,1 Dec 1975,(1 Dec 2025)
Doel,3,PWR,Framatome 3 loops,Shut down,1006,1 Jan 1975,1 Oct 1982,23 Sep 2022[13]
Doel,4,PWR,Belgian firms plus WH 3 loops,Operational,1039,1 Dec 1978,1 Jul 1985,(1 Nov 2035)
Tihange,1,PWR,Framatome 3 loops,Shut down,962,1 Jun 1970,1 Oct 1975,1 Oct 2025
Tihange,2,PWR,Framatome 3 loops,Shut down,1008,1 Apr 1976,1 Jun 1983,31 Jan 2023[14]
Tihange,3,PWR,Belgian firms plus WH 3 loops,Operational,1046,1 Nov 1978,1 Sep 1985,(1 Nov 2035)
