Plant name,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Jinshan,1,BWR,BWR-4,Shut down/in decommissioning,636,2 Jun 1972,10 Dec 1978,3 Oct 2018
Jinshan,2,BWR,BWR-4,Shut down/in decommissioning,636,7 Dec 1973,15 Jul 1979,3 Oct 2018
Kuosheng,1,BWR,BWR-6,Shut down,985,19 Nov 1975,28 Dec 1981,1 Jul 2021
Kuosheng,2,BWR,BWR-6,Shut down,985,15 Mar 1976,16 Mar 1983,15 Mar 2023
Lungmen,1,BWR,ABWR,Unfinished,1350,31 Mar 1999,,27 April 2014 
Lungmen,2,BWR,ABWR,Unfinished,1350,30 Aug 1999,,27 April 2014 
Maanshan,1,PWR,WH 312 3-loop,Shut down,951,21 Aug 1978,27 Jul 1984,28 Jul 2024
Maanshan,2,PWR,WH 312 3-loop,Shut down,951,21 Feb 1979,18 May 1985,17 May 2025
