Plant name,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Metsamor,1,PWR,VVER-440/V-270,Shut down,376,1 Jul 1969,6 Oct 1977,25 Feb 1989
Metsamor,2,PWR,VVER-440/V-270,Operational,375,1 Jul 1975,3 May 1980,(2036)[8]
