Plant name,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Koeberg,1,PWR,CP1 (France),Operational,930,1 Jul 1976,21 Jul 1984,
Koeberg,2,PWR,CP1 (France),Operational,930,1 Jul 1976,9 Nov 1985,
