Plant name,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Plant in the Jizzakh Region,1,PWR,RITM-200N,Planned,55,,,
Plant in the Jizzakh Region,2,PWR,RITM-200N,Planned,55,,,
Plant in the Jizzakh Region,3,PWR,RITM-200N,Planned,55,,,
Plant in the Jizzakh Region,4,PWR,RITM-200N,Planned,55,,,
Plant in the Jizzakh Region,5,PWR,RITM-200N,Planned,55,,,
Plant in the Jizzakh Region,6,PWR,RITM-200N,Planned,55,,,
