Plant name,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Krško,1,PWR,WH 2 loops,Operational,688,30 Mar 1975,1 Jan 1983,(2043)
Krško,2,PWR,TBD,Planned,1100,,(2030),
